giftId,name,category,image,description,price,average_rating,link
46,9 x 12,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/71mrpkslSuL._AC_UL300_SR300,200_.jpg","9 x 12 inches Sketch Book, Top Spiral Bound Sketch Pad, 1 Pack 100-Sheets (68lb/100gsm), Acid Free Art Sketchbook Artistic Drawing Painting Writing Paper for Kids Adults Beginners Artists",7.97,4.8,https://www.amazon.com/100-Sheets-Sketchbook-Artistic-Painting-Beginners/dp/B08TLK1ZSV/ref=zg_mg_g_arts-crafts_d_sccl_21/142-5959884-0534120?psc=1
47,Maybe Swearing Will,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81OVRRjzfPL._AC_UL300_SR300,200_.jpg",Maybe Swearing Will Help Adult Coloring Book Set - for Adults Relaxation with Markers in a Case - Motivational Swear Word Anxiety Relief - Color Cuss & Laugh Your Way to Less Stress,27.99,4.7,https://www.amazon.com/Sargent-Classic-Marker-Maybe-Swearing/dp/B01ELWWX98/ref=zg_mg_g_arts-crafts_d_sccl_22/142-5959884-0534120?psc=1
48,Betem Colors Dual,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81pi6CMHv3L._AC_UL300_SR300,200_.jpg","Betem Colors Dual Tip Acrylic Paint Pens Markers, Premium Acrylic Paint Pens for Wood, Canvas, Stone, Rock Painting, Glass, Ceramic Surfaces, DIY Crafts Making Art Supplies (12 Colors Paint Markers)",8.99,4.6,https://www.amazon.com/Acrylic-Markers-Betem-Painting-Surfaces/dp/B09VCGKH4H/ref=zg_mg_g_arts-crafts_d_sccl_23/142-5959884-0534120?psc=1
49,Luna Bean Hand,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81QCGcHXW3L._AC_UL300_SR300,200_.jpg","Luna Bean Hand Casting Kit – Couples Gifts Idea, Anniversary for Couple Gift, Mothers Day Gifts, Fun Date Night Ideas, Gift for Women and Men, Hand Molding Kit, Valentines Day, Christmas",29.99,4.6,https://www.amazon.com/Luna-Bean-KEEPSAKE-Plaster-Materials/dp/B01E4LWBLQ/ref=zg_mg_g_arts-crafts_d_sccl_24/142-5959884-0534120?psc=1
50,Astrobrights/Neenah Bright White,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81UVmEEoiAL._AC_UL300_SR300,200_.jpg","Astrobrights/Neenah Bright White Cardstock, 8.5"" x 11"", 65 lb/176 gsm, White, 75 Sheets (90905-02) - Packaging May Vary",6.99,4.8,https://www.amazon.com/Neenah-Bright-Cardstock-Sheets-90905/dp/B003A2I5T8/ref=zg_mg_g_arts-crafts_d_sccl_25/142-5959884-0534120?psc=1
51,,Audible,"https://images-na.ssl-images-amazon.com/images/I/91ixlojlXaL._AC_UL300_SR300,200_.jpg",,13.08,4.2,https://www.amazon.com/Romanovs-Captivating-Imperial-Dynasty-Romanov/dp/B08K98K99Q/ref=zg_mg_g_audible_d_sccl_1/142-3011227-6318950?isALC=true
52,,Audible,"https://images-na.ssl-images-amazon.com/images/I/91mnPAZMVoS._AC_UL300_SR300,200_.jpg",,22.51,4.8,https://www.amazon.com/Wild-at-Heart-John-Eldredge-audiobook/dp/B0002P0EE0/ref=zg_mg_g_audible_d_sccl_2/142-3011227-6318950?isALC=true
53,,Audible,"https://images-na.ssl-images-amazon.com/images/I/91osMkhfyWL._AC_UL300_SR300,200_.jpg",,26.21,4.6,https://www.amazon.com/Restless-Stars-Zodiac-Academy-9/dp/B0CZY2957Z/ref=zg_mg_g_audible_d_sccl_3/142-3011227-6318950?isALC=true
54,,Audible,"https://images-na.ssl-images-amazon.com/images/I/91B0Ylli4XL._AC_UL300_SR300,200_.jpg",,15.74,4.6,https://www.amazon.com/Unleash-Power-Within-Personal-Transform/dp/B085626LF2/ref=zg_mg_g_audible_d_sccl_4/142-3011227-6318950?isALC=true
55,,Audible,"https://images-na.ssl-images-amazon.com/images/I/81Ll5EWqT-L._AC_UL300_SR300,200_.jpg",,17.72,4.3,https://www.amazon.com/Next-Mrs-Parrish-Novel/dp/B0CKM1KTH6/ref=zg_mg_g_audible_d_sccl_5/142-3011227-6318950?isALC=true
56,,Audible,"https://images-na.ssl-images-amazon.com/images/I/91J+irq4RgL._AC_UL300_SR300,200_.jpg",,17.46,4.4,https://www.amazon.com/Summer-You-Found-Me-Book/dp/B0CQPMCPPX/ref=zg_mg_g_audible_d_sccl_6/142-3011227-6318950?isALC=true
57,,Audible,"https://images-na.ssl-images-amazon.com/images/I/81avzKxLmYL._AC_UL300_SR300,200_.jpg",,21.83,4.4,https://www.amazon.com/Audible-Those-Three-Little-Words/dp/B09X225J5B/ref=zg_mg_g_audible_d_sccl_7/142-3011227-6318950?isALC=true
58,,Audible,"https://images-na.ssl-images-amazon.com/images/I/91kVpkbiapL._AC_UL300_SR300,200_.jpg",,17.72,4.7,https://www.amazon.com/Fever-Heartland-Klans-America-Stopped/dp/B0B9P2WGHV/ref=zg_mg_g_audible_d_sccl_8/142-3011227-6318950?isALC=true
59,,Audible,"https://images-na.ssl-images-amazon.com/images/I/81X7awOROcL._AC_UL300_SR300,200_.jpg",,5.99,4.4,https://www.amazon.com/Days-Tame-Diabetes-step-step/dp/B0CT5WZHV6/ref=zg_mg_g_audible_d_sccl_9/142-3011227-6318950?isALC=true
60,,Audible,"https://images-na.ssl-images-amazon.com/images/I/812zbLlGz6L._AC_UL300_SR300,200_.jpg",,17.72,4.7,https://www.amazon.com/Be-Useful-Seven-Tools-Life/dp/B0C1HR5D9S/ref=zg_mg_g_audible_d_sccl_10/142-3011227-6318950?isALC=true
61,,Audible,"https://images-na.ssl-images-amazon.com/images/I/81grapD5x1L._AC_UL300_SR300,200_.jpg",,29.66,4.7,https://www.amazon.com/I-Will-Teach-You-to-Be-Rich-audiobook/dp/B07QR7GYF7/ref=zg_mg_g_audible_d_sccl_11/142-3011227-6318950?isALC=true
62,,Audible,"https://images-na.ssl-images-amazon.com/images/I/81uDiLTczbL._AC_UL300_SR300,200_.jpg",,15.66,4.5,https://www.amazon.com/4-Hour-Workweek-Anywhere-Expanded-Updated/dp/B0031KN6T8/ref=zg_mg_g_audible_d_sccl_12/142-3011227-6318950?isALC=true
63,,Audible,"https://images-na.ssl-images-amazon.com/images/I/71ebo4sRLtL._AC_UL300_SR300,200_.jpg",,7.40,4.2,https://www.amazon.com/Birds-Arent-Real-Surveillance-Campaign/dp/B0CJW87JHX/ref=zg_mg_g_audible_d_sccl_13/142-3011227-6318950?isALC=true
64,,Audible,"https://images-na.ssl-images-amazon.com/images/I/A108+1syKuL._AC_UL300_SR300,200_.jpg",,6.08,4.1,https://www.amazon.com/Crochet-Beginners-Complete-Mastering-Crocheting/dp/B01M122DYV/ref=zg_mg_g_audible_d_sccl_14/142-3011227-6318950?isALC=true
